title,price,tourist,dianping,percent,subtitle
[春节]<华东五市-乌镇双飞5日游>牛人国际五星0购0自费丨西栅&拈花湾双客栈丨灵山祈福+西湖打卡1元实景+周庄游船丨一生必看千古情&上海夜景丨赠年夜饭,2529,2.9万,8696人,98,长沙出发机票可选| 南京成团| 宁进沪出 灵山大佛 拈花湾 杭州西湖 雷峰塔 杭州宋城
<牛轻奢-华东5市双飞5日>南博探秘国家宝藏丨10人纯玩丨品牌五星/西栅客栈丨西塘乘摇橹船丨二进西湖丨拈花汉服游园赠旅拍丨夫子庙秦淮夜景丨春节逛庙会,2530,2.6万,8561人,95,长沙出发机票可选| 南京成团| 精品小团 5A苏州园林 轻奢纯玩0购 搜罗美食 深度漫游 不赶路
<苏州-乌镇-杭州3日游>精选苏州5A园林，深度纯玩，宿2晚品牌度假酒店，夜游乌镇，赏西栅日夜美景，船游西湖，一车到底，一天一座城,499,331,62人,95,苏州成团| 不换车导 赠西湖游船 西栅夜景 1天1座城 可升级住宿 
<杭州-乌镇2日游>深度纯玩，船游西湖，夜宿乌镇，升级1晚乌镇度假酒店，赏西栅日夜美景，住宿可升级，专车专导,321,207,54人,97,杭州成团| 夜游乌镇 自由度高 无强制消费 精选5A景点 枕水人家 西湖游船 
<上海迪士尼+华东五市+绍兴+乌镇+杭州双飞6日游>牛实惠0自费，苏式留园，江南三大水乡+双船游，探鲁迅故居，夜宿周庄，赠上海夜景+千古情,2577,2.5万,8354人,95,长沙出发机票可选| 无锡成团| 太湖鼋头渚 船游木渎古镇 风车之乡周庄 船游西湖 鲁迅三味书屋
<华东五市-乌镇火车6日游>0购2晚五星客栈丨拈花湾华灯夜色汉服游园丨沉浸乌镇昼与夜丨四面环水周庄丨西湖登岛1元实景丨旅拍留存时光丨水乡年夜饭,2145,9717,2880人,98,长沙出发| 上海成团| 上海有自由活动 亲子 暑假 拈花湾
[春节]<苏州+杭州+乌镇双飞4日游>臻享苏杭0购丨国际五星/乌镇客栈丨西湖深度游丨乌镇12时辰丨古典园林丨牛人大礼包（旅拍/提灯走桥/南浔制作定胜糕）,1659,1.3万,3647人,98,长沙出发| 上海成团| 精品小团 国际五星酒店  情侣家庭亲子 苏州园林 明星导游 特色美食 ...
<华东五市+扬州+乌镇自选交通6日游>一价全含/18人团，品牌酒店，3大水乡/船游西湖，夜游乌镇/俯瞰外滩夜景/宋城千古情演出，无忧接送,3007,768,267人,97,长沙出发| 上海成团| 精品小团 夜游乌镇西栅 自费全含 全程品牌住宿 纯玩0购 
<西塘古镇-乌镇2日游>超人气产品，宿景区门口途家斯维登，占床含早，水墨古镇的一抹夜色之美，双古镇带你品味江南，重磅回归,382,1.4万,2520人,97,南京成团| 淳美西塘古镇 恬静乌镇风光 精选高端酒店 赠送酒店早餐 门票全含 
<华东六市+绍兴+乌镇+杭州双动5日游>牛实惠，乌镇+周庄+绍兴三大水乡&打卡鲁迅故居，夜宿周庄+升宋城千古情主题酒店，3顿特色餐,1173,2.9万,9571人,95,武汉出发| 南京成团| 秦淮十六味 太湖鼋头渚 船游木渎古镇 风车之乡周庄 船游西湖 鲁迅三味...
<上海-苏州-乌镇-杭州4日游>纯玩0购物，三大5A水乡，赠四季周庄演出，价值150元，限量升周庄客栈以及宋城主题酒店,491,218,57人,98,上海成团| 绝不进店 挚爱水乡 超高性价 
[春节]<上海迪士尼+苏州+杭州双飞5日游>臻享0购丨国际五星/乌镇客栈丨西湖深度丨乌镇12时辰丨古典园林丨牛人大礼包（旅拍/提灯走桥/南浔制作定胜糕）,2236,3252,855人,96,长沙出发| 上海成团| 精品小团 国际五星酒店 情侣家庭亲子 迪士尼乐园 苏州园林 古镇水乡 ...
<牛轻奢-华东5市火车6日游>南博寻国家宝藏丨10人纯玩30空座率丨品牌五星/西栅客栈丨西塘乘摇橹船丨二进西湖丨拈花汉服游园赠旅拍丨夫子庙古秦淮夜景,2915,1.9万,6460人,95,长沙出发| 南京成团| 精品小团 5A苏州园林 轻奢纯玩0购 搜罗美食 深度漫游 不赶路
<乌镇+南浔1日游>慢游乌镇，夜游南浔夜景，市区1对1专车上门接，纯玩无购物,198,1866,261人,92,杭州成团| 1对1专车接 保证纯玩 双古镇
<乌镇-杭州2日游>深度纯玩不进店，船游西湖，升级乌镇度假酒店，赏西栅日夜美景，船游西湖，舒适体验,336,90,16人,100,苏州成团| 夜游西栅 赏乌镇夜景 专业导游 花港观鱼 无强制消费 西湖游船 
<苏州-乌镇-杭州3日游>夜宿乌镇直营客栈，含2早3正，赏西栅全景，苏州精选名园，升级苏州酒店，含西湖游船，专车专导，深度纯玩，原味江南,690,90,21人,100,上海成团| 一天一座城 多次入园 中国四大名园 不换车导 专线导游 赏乌镇夜景 
<上海迪士尼+苏州杭州+乌镇火车5日游>臻享0购丨国际五星/乌镇客栈丨西湖深度游丨乌镇12时辰丨古典园林丨牛人大礼包（旅拍/提灯走桥/南浔制作定胜糕）,2633,4465,1275人,97,长沙出发| 上海成团| 精品小团 国际五星酒店 情侣家庭亲子 迪士尼一天 苏州园林 古镇水乡 ...
<华东六市+乌镇+普陀山自选交通7日游>乌镇+周庄+绍兴三大水乡/太湖&西湖双船游/打卡鲁迅故居/夜宿周庄，普陀山祈福/畅游六大景点/宿海边经济型驿站,2255,1.9万,6419人,95,长沙出发| 南京成团| 秦淮十六味 太湖鼋头渚 船游木渎古镇 风车之乡周庄 船游西湖 鲁迅三味...
<牛轻奢-迪士尼-华东5市双飞6日游>10人VIP纯玩/迪士尼点亮冬日/全程五星&1晚西栅客栈/南博寻宝/拈花湾汉服游园/情迷西塘/二次游船二进西湖/30空座率,3107,6985,2058人,94,长沙出发机票可选| 南京成团| 精品小团 5A苏州园林 轻奢纯玩0购 搜罗美食 深度漫游 不赶路
<上海+苏杭+乌镇+千岛湖双飞5日游>自营0购/皇冠假日+1晚乌镇客栈+千岛湖开元度假村（游览中心湖区）西湖3H环游全景/西栅赠旅拍/高标茅式家宴,2435,3252,855人,96,长沙出发| 杭州成团| 小华东 亲子游  杭州宋城
<上海迪士尼+华东六市+绍兴+乌镇+杭州双动6日游>二次坐船,减轻舟车劳顿,玩转(乌镇、周庄、绍兴)三大水乡，打卡鲁迅故居,入住周庄,1737,2.8万,9140人,95,武汉出发| 南京成团| 秦淮十六味 太湖鼋头渚 船游木渎古镇 风车之乡周庄 船游西湖 鲁迅三味...
[春节]<杭州-乌镇-西塘自选交通3日游>自营独发10人0购丨1晚品牌五星+1晚乌镇客栈丨共赏西栅日夜景丨乘摇橹船觅西塘丨2进西湖南北全景+登岛丨30空座率,2237,1.1万,3137人,98,杭州成团| 精品小团 轻奢纯玩0购 搜罗美食 深度漫游 不赶路
