name,structure,area,floor,price
庆云楚天花园 -湖南工业大学,3室2厅,141.36平米,高楼层(共18层) ,76万
楠湖山庄 -栗雨（美的城）,4室2厅,140.23平米,中楼层(共7层) ,70万
大江观邸 -株洲大道（体育馆）,3室2厅,126平米,高楼层(共33层) ,83万
东部美的城二期 -向阳广场,4室2厅,127平米,低楼层(共31层) ,105万
株洲恒大林溪郡 -向阳广场,3室2厅,120平米,低楼层(共32层) ,102万
天鹅花园 -天鹅湖公园,3室2厅,103平米,中楼层(共8层) ,41万
天鹅湖一号 -天鹅湖公园,4室2厅,171平米,低楼层(共30层) ,88万
中建御山和苑 -庐山路,3室2厅,100平米,高楼层(共27层) ,82.8万
嘉泰大厦 -东湖,1室1厅,61.84平米,中楼层(共16层) ,28.8万
株洲恒大华府 -湖南工业大学,3室2厅,93平米,高楼层(共28层) ,69万
汽车城小区 -汽车城,2室2厅,99平米,中楼层(共4层) ,51万
尚格名城花好悦园 -株洲大道（体育馆）,2室2厅,94平米,高楼层(共7层) ,54万
东湖小区 -株洲大道（体育馆）,3室2厅,134平米,中楼层(共7层) ,65万
天香国舍 -株洲大道（体育馆）,5室2厅,158.76平米,高楼层(共7层) ,100万
阳光爱琴海 -田心,4室2厅,192.14平米,高楼层(共5层) ,70万
学林雅苑 -神农城,6室2厅,288平米,高楼层(共13层) ,158.1万
财富小区 -市党委校,5室2厅,233.21平米,高楼层(共7层) ,70万
嶺秀天下 -荷塘区,3室2厅,147.48平米,高楼层(共24层) ,73.8万
佳兆业金域天下三期 -栗雨（美的城）,3室2厅,97平米,低楼层(共33层) ,64万
玫瑰御园 -湖南工业大学,3室2厅,118平米,高楼层(共18层) ,78万
百江花园 -庆云山,3室1厅,91平米,低楼层(共18层) ,56.8万
置信逸都花园 -荷塘大道,4室2厅,139.41平米,高楼层(共18层) ,70万
美的城 -栗雨（美的城）,3室2厅,104.5平米,中楼层(共33层) ,82.8万
中房·金色荷塘 -大润发,3室2厅,136平米,低楼层(共6层) ,115万
美的蓝溪谷 -栗雨（美的城）,4室2厅,126平米,高楼层(共27层) ,115.8万
泰華二村 -滨江广场,3室1厅,78平米,高楼层(共7层) ,56.8万
龙腾国际 -湖南工业大学,5室2厅,168.46平米,中楼层(共18层) ,108.8万
天河小区 -醴陵市,3室2厅,112.37平米,中楼层(共6层) ,52.8万
瑞和新城 -醴陵市,4室2厅,162.29平米,中楼层(共18层) ,79.8万
东部美的城1期 -向阳广场,4室2厅,135.67平米,高楼层(共34层) ,89.8万
栗雨城颐景园 -栗雨（美的城）,3室2厅,138.42平米,低楼层(共18层) ,125万
碧玉花园 -庆云山,8室3厅,357平米,板楼,485万
磐龙世纪城·紫竹台 -云龙示范区,4室2厅,158平米,高楼层(共11层) ,85万
星海明筑 -醴陵市,4室2厅,153.58平米,低楼层(共31层) ,98万
青年乐园 -滨江广场,4室2厅,169平米,中楼层(共7层) ,87万
银泰财富广场 -红旗广场,4室2厅,176平米,高楼层(共30层) ,96.8万
华晨金水湾 -湖南工业大学,5室2厅,231.16平米,低楼层(共31层) ,170万
华湘苑 -红旗广场,4室2厅,139平米,中楼层(共8层) ,61.8万
湘坤金岸华庭 -大润发,4室2厅,131平米,高楼层(共15层) ,78.6万
翠谷城 -栗雨（美的城）,4室2厅,130平米,中楼层(共32层) ,105万
绿韵荷塘 -大润发,4室2厅,135.52平米,高楼层(共31层) ,69.6万
梓月楼 -庐山路,6室2厅,260平米,高楼层(共15层) ,110万
月溪谷 -庆云山,6室3厅,245.78平米,中楼层(共7层) ,196万
嘉天紫东苑 -向阳广场,4室2厅,136平米,高楼层(共16层) ,62.8万
华湘苑 -红旗广场,4室2厅,131平米,中楼层(共8层) ,70万
金域半岛 -新华东路,4室2厅,140.47平米,高楼层(共32层) ,85万
汇隆缤纷世家 -大润发,4室2厅,133平米,低楼层(共14层) ,79.6万
东方明园 -向阳广场,3室2厅,143平米,高楼层(共14层) ,74.5万
康桥美郡 -湖南工业大学,1室1厅,45.53平米,中楼层(共22层) ,33.9万
北山一村 -田心,2室1厅,59平米,中楼层(共6层) ,25万
湖景名城 -栗雨（美的城）,4室2厅,134平米,高楼层(共27层) ,85.8万
翠谷城 -栗雨（美的城）,3室2厅,132平米,中楼层(共32层) ,90万
中建江湾壹号 -湖南工业大学,4室2厅,166平米,低楼层(共33层) ,125万
华晨·山水洲城 -株洲西站,3室2厅,111平米,中楼层(共31层) ,66万
金碧禦瓏 -庆云山,3室2厅,125.9平米,中楼层(共33层) ,88万
城市风景 -庐山路,3室2厅,100平米,中楼层(共18层) ,75万
白金汉宫 -湖南工业大学,3室2厅,126.39平米,高楼层(共15层) ,95万
五环 -醴陵市,4室2厅,168.5平米,中楼层(共18层) ,92万
歌雅郡 -向阳广场,3室2厅,125.5平米,高楼层(共27层) ,95万
尚阳景城 -醴陵市,3室2厅,124.88平米,高楼层(共16层) ,65.3万
湖电科技公寓 -醴陵市,3室2厅,111平米,高楼层(共6层) ,49.8万
裕景龙苑 -庆云山,3室2厅,104平米,低楼层(共18层) ,70万
北山二村 -田心,2室1厅,70.14平米,高楼层(共6层) ,18万
尚格名城万家理想 -株洲大道（体育馆）,3室2厅,92.33平米,中楼层(共7层) ,57万
湖景名城 -栗雨（美的城）,4室2厅,132.92平米,中楼层(共30层) ,88.8万
老二中生活区 -神农城,3室2厅,84.85平米,高楼层(共7层) ,47万
城发时代新城 -株洲北,3室2厅,117.9平米,高楼层(共18层) ,55万
锦绣华都 -株洲大道（体育馆）,3室2厅,116.29平米,中楼层(共33层) ,78万
中信蓝盾景园 -滨江广场,3室2厅,150平米,低楼层(共19层) ,115万
百江花园 -庆云山,3室2厅,140平米,高楼层(共18层) ,81.8万
天鹅湖一号 -天鹅湖公园,3室1厅,150平米,低楼层(共28层) ,100万
翰林府三期 -株洲北,3室2厅,118.94平米,高楼层(共32层) ,65万
