attribute_text,company_href,company_name,companytype_text,job_href,job_name,jobwelf,providesalary_text,updatedate,workarea_text
"深圳-南山区,2年经验,本科,招若干人",https://jobs.51job.com/all/co4171389.html,风变科技（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/121697972.html?s=01&t=0,课程内容研发-技术方向,,0.8-1.5万/月,12-10,深圳-南山区
"深圳-南山区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co4171389.html,风变科技（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/121910934.html?s=01&t=0,教研员（技术方向）,五险一金 餐饮补贴 弹性工作 交通补贴,1-2万/月,12-10,深圳-南山区
"深圳-南山区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co4171389.html,风变科技（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/122363561.html?s=01&t=0,教研员（技术方向）,五险一金 餐饮补贴 弹性工作 交通补贴,1-2万/月,12-10,深圳-南山区
"深圳-龙岗区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co2190894.html,深圳市泽宝创新技术有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/123290137.html?s=01&t=0,数据分析师,五险一金 员工旅游 弹性工作 定期体检 年终奖金 专业培训,1.3-2万/月,12-10,深圳-龙岗区
"深圳-龙华区,1年经验,本科,招1人",https://jobs.51job.com/all/co5604418.html,雷特网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/125403913.html?s=01&t=0,高级数据分析师,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 股票期权 弹性工作 老板nice 下午茶 每月团建,2-3万/月,12-09,深圳-龙华区
"深圳,8-9年经验,本科,招若干人",https://jobs.51job.com/all/co6174540.html,深圳吉吉国际供应链有限公司,合资,https://jobs.51job.com/shenzhen/126723546.html?s=01&t=0,高级JAVA后端工程师,,2-3.5万/月,11-21,深圳
"深圳-龙岗区,2年经验,大专,招2人",https://jobs.51job.com/all/co6053700.html,深圳市付讯科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126408478.html?s=01&t=0,软件开发产品经理,五险一金 绩效奖金 员工旅游 年终奖金 带薪年假 周末双休 地铁周边 甲级写字楼,0.8-1万/月,11-18,深圳-龙岗区
"深圳-福田区,无需经验,大专,招5人",https://jobs.51job.com/all/co6092118.html,深圳市智博学教育咨询有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/125659660.html?s=01&t=0,游戏测试工程师7K起,,0.8-1万/月,11-10,深圳-福田区
"深圳-罗湖区,无需经验,大专,招5人",https://jobs.51job.com/all/co6092118.html,深圳市智博学教育咨询有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/125659508.html?s=01&t=0,游戏测试工程师7K起,,1-1.5万/月,11-10,深圳-罗湖区
"深圳-龙华区,无需经验,本科,招3人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/125162857.html?s=01&t=0,机器人测试工程师,五险一金 弹性工作 年终奖金,0.8-1万/月,10-23,深圳-龙华区
"深圳-南山区,无需经验,本科,招3人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125162826.html?s=01&t=0,机器人研发工程师,五险一金 弹性工作 年终奖金,0.8-1万/月,10-23,深圳-南山区
"深圳-龙华区,无需经验,大专,招3人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/125164373.html?s=01&t=0,AI数据分析人工智能师,五险一金 弹性工作 年终奖金,1-1.5万/月,10-23,深圳-龙华区
"深圳-南山区,无需经验,大专,招3人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125164303.html?s=01&t=0,AI数据分析,五险一金 弹性工作 年终奖金,1-1.5万/月,10-23,深圳-南山区
"深圳-龙华区,无需经验,大专,招3人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/125164027.html?s=01&t=0,全栈工程师月薪8至12K,五险一金 弹性工作 年终奖金,0.8-1万/月,10-23,深圳-龙华区
"深圳-龙岗区,无需经验,大专,招3人",https://jobs.51job.com/all/co6058440.html,深圳市尚道咨询管理有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/125163932.html?s=01&t=0,全栈工程师月薪8至12K,五险一金 弹性工作 年终奖金,0.8-1万/月,10-23,深圳-龙岗区
