attribute_text,company_href,company_name,companytype_text,job_href,job_name,jobwelf,providesalary_text,updatedate,workarea_text
"异地招聘,2年经验,大专,招2人",https://jobs.51job.com/all/co5670545.html,广东钳钳科技有限公司,民营公司,https://jobs.51job.com/shantou/127604831.html?s=01&t=0,Python高级开发工程师,五险一金 餐饮补贴 年终奖金 绩效奖金 员工旅游 定期体检 每周双休,1-1.5万/月,12-13,异地招聘
"深圳-南山区,3-4年经验,本科,招若干人",https://jobs.51job.com/all/co6240664.html,深圳金蝶账无忧网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127587017.html?s=01&t=0,python软件开发工程师,五险一金 免费班车 年终奖金 弹性工作 员工旅游 专业培训,1.2-2万/月,12-13,深圳-南山区
"深圳-罗湖区,2年经验,本科,招1人",https://jobs.51job.com/all/co3215868.html,深圳市阿卡索资讯股份有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/126702779.html?s=01&t=0,爬虫开发工程师,五险一金 做五休二 商业保险 带薪年假,1-1.5万/月,12-12,深圳-罗湖区
"异地招聘,2年经验,本科,招2人",https://jobs.51job.com/all/co5438024.html,东莞先知大数据有限公司,创业公司,https://jobs.51job.com/dongguan-dcq/125841833.html?s=01&t=0,python 数据库后端工程师,绩效奖金 年终奖金 交通补贴 五险一金 餐饮补贴 住宿补贴,0.8-1.5万/月,12-12,异地招聘
"深圳-南山区,3-4年经验,大专,招1人",https://jobs.51job.com/all/co2117924.html,深圳麦亚信科技股份有限公司,上市公司,https://jobs.51job.com/shenzhen-nsq/123318633.html?s=01&t=0,急招爬虫开发工程师（外包）,五险一金 员工旅游 生日礼物 司龄补贴 过节礼物 年度体检 伯乐奖 级别福利,1.1-1.4万/月,12-11,深圳-南山区
"深圳-南山区,3-4年经验,大专,招5人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127569434.html?s=01&t=0,Python开发工程师,五险一金 周末双休,0.8-1.3万/月,12-15,深圳-南山区
"深圳-南山区,3-4年经验,大专,招5人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127538666.html?s=01&t=0,Python开发工程师,五险一金 周末双休,0.8-1.3万/月,12-15,深圳-南山区
"异地招聘,2年经验,大专,招3人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/jinan-lxq/126740923.html?s=01&t=0,Python软件开发工程师,,0.8-1.2万/月,12-15,异地招聘
"深圳-南山区,2年经验,大专,招5人",https://jobs.51job.com/all/co6169561.html,深圳市汇泉教育科技有限责任公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126653824.html?s=01&t=0,Python软件开发工程师,,0.8-1.2万/月,12-15,深圳-南山区
"深圳-南山区,大专,招1人",https://jobs.51job.com/all/co5489755.html,深圳市宇达计算机有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/113459839.html?s=01&t=0,网络推广专员(SEM/会Python为佳),,0.4-2万/月,12-15,深圳-南山区
"深圳-福田区,2年经验,本科,招1人",https://jobs.51job.com/all/co3414567.html,深圳市道合顺电子科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/114992937.html?s=01&t=0,Python开发工程师,五险一金 员工旅游 绩效奖金 出国机会 专业培训 定期体检,1.5-3万/月,12-16,深圳-福田区
"深圳-龙华区,5-7年经验,本科,招1人",https://jobs.51job.com/all/co5185991.html,深圳市爱图仕影像器材有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/127098972.html?s=01&t=0,Python开发工程师,五险一金 员工旅游 餐饮补贴 年终奖金 绩效奖金 定期体检 项目奖金,0.5-2万/月,12-15,深圳-龙华区
"深圳-龙岗区,3-4年经验,本科,招2人",https://jobs.51job.com/all/co4656062.html,合肥市合趣网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/126219487.html?s=01&t=0,软件开发工程师（python)/ Python后端开发工程师,五险 高温补贴 住房补贴 每年多次调薪 午餐补助,1.5-2万/月,12-15,深圳-龙岗区
"深圳-南山区,3-4年经验,本科,招若干人",https://jobs.51job.com/all/co5755635.html,东杰智能（深圳）有限公司,上市公司,https://jobs.51job.com/shenzhen-nsq/127237585.html?s=01&t=0,Python开发工程师,五险一金 员工旅游 绩效奖金 周末双休,1-2万/月,12-11,深圳-南山区
"深圳-福田区,2年经验,大专,招2人",https://jobs.51job.com/all/co2764482.html,深圳市华威斯科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/125137452.html?s=01&t=0,python中高级工程师,五险一金 节日福利 立即上岗,1-2万/月,12-11,深圳-福田区
"深圳,1年经验,本科,招若干人",https://jobs.51job.com/all/co4021891.html,晤桥亚洲资产管理咨询与软件有限公司,外资（非欧美）,https://jobs.51job.com/shenzhen/117033174.html?s=01&t=0,Python数据分析师,五险一金 补充公积金 绩效奖金 出国机会 专业培训 弹性工作 出国参访 额外年休假,0.7-1.2万/月,12-11,深圳
"深圳-龙岗区,3-4年经验,本科,招1人",https://jobs.51job.com/all/co493249.html,深圳市通拓科技有限公司,上市公司,https://jobs.51job.com/shenzhen-lgq/125389718.html?s=01&t=0,python开发工程师,五险一金 绩效奖金 年终奖金 全勤奖 专业培训 岗位晋升 带薪年假 餐饮补贴,1.5-2万/月,12-10,深圳-龙岗区
"深圳-南山区,1年经验,本科,招1人",https://jobs.51job.com/all/co4171389.html,风变科技（深圳）有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125159684.html?s=01&t=0,教研员（python技术方向）,餐饮补贴 弹性工作 交通补贴 绩效奖金 专业培训 转正机会,0.8-1.5万/月,12-10,深圳-南山区
"深圳-龙岗区,招1人",https://jobs.51job.com/all/co2190894.html,深圳市泽宝创新技术有限公司,民营公司,https://jobs.51job.com/shenzhen-lgq/117666436.html?s=01&t=0,JAVA爬虫工程师,五险一金 员工旅游 交通补贴 餐饮补贴 股票期权 年底双薪 带薪年假,1.1-1.8万/月,12-10,深圳-龙岗区
"深圳,1年经验,本科,招2人",https://jobs.51job.com/all/co2284185.html,深圳市乐思软件技术有限公司,民营公司,https://jobs.51job.com/shenzhen/127493544.html?s=01&t=0,Python软件工程师 02,周末双休 五险一金 绩效奖金 节日福利 专业培训 高温补贴 出国机会 员工旅游 补充医疗保险 年终奖金,0.9-1.1万/月,12-10,深圳
"深圳-南山区,2年经验,大专,招5人",https://jobs.51job.com/all/co6063217.html,珠海市华盛达科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/125485788.html?s=01&t=0,Python开发工程师,,0.9-1.4万/月,12-10,深圳-南山区
"深圳-南山区,1年经验,大专,招5人",https://jobs.51job.com/all/co5616198.html,深圳神木源科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/116491957.html?s=01&t=0,Python开发工程师4,五险一金 补充医疗保险 免费班车 员工旅游 专业培训 出国机会 通讯补贴 餐饮补贴 绩效奖金 年终奖金,6-8千/月,12-09,深圳-南山区
"深圳-南山区,在校生/应届生,大专,招若干人",https://jobs.51job.com/all/co6209470.html,深圳点猫科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/127293887.html?s=01&t=0,少儿编程实习老师（python）,带薪年假 五险一金 节日福利 专业培训 绩效奖金 年终奖金 餐饮补贴 员工旅游,6-8千/月,12-07,深圳-南山区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co270592.html,任子行网络技术股份有限公司,上市公司,https://jobs.51job.com/shenzhen/127326250.html?s=01&t=0,爬虫开发工程师,五险一金 带薪年假 周末双休,1.5-2万/月,12-07,深圳
"深圳-南山区,1年经验,招若干人",https://jobs.51job.com/all/co5728964.html,深圳妮姬网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/124439110.html?s=01&t=0,爬虫工程师,,0.6-1.5万/月,12-06,深圳-南山区
"异地招聘,2年经验,大专,招2人",https://jobs.51job.com/all/co5670545.html,广东钳钳科技有限公司,民营公司,https://jobs.51job.com/shantou/122912486.html?s=01&t=0,Python中级开发工程师,五险一金 餐饮补贴 年终奖金 绩效奖金 员工旅游 定期体检 每周双休,1-1.5万/月,12-13,异地招聘
"深圳,1年经验,本科,招2人",https://jobs.51job.com/all/co2284185.html,深圳市乐思软件技术有限公司,民营公司,https://jobs.51job.com/shenzhen/127483875.html?s=01&t=0,Python软件工程师 01,周末双休 五险一金 绩效奖金 节日福利 专业培训 高温补贴 出国机会 员工旅游 补充医疗保险 年终奖金,7-9千/月,12-10,深圳
"深圳-福田区,1年经验,大专,招5人",https://jobs.51job.com/all/co5616198.html,深圳神木源科技有限公司,民营公司,https://jobs.51job.com/shenzhen-ftq/116491935.html?s=01&t=0,Python开发工程师3,五险一金 补充医疗保险 免费班车 员工旅游 专业培训 出国机会 通讯补贴 餐饮补贴 绩效奖金 年终奖金,6-8千/月,12-09,深圳-福田区
"深圳-宝安区,1年经验,大专,招5人",https://jobs.51job.com/all/co5616198.html,深圳神木源科技有限公司,民营公司,https://jobs.51job.com/shenzhen-baq/116432806.html?s=01&t=0,Python开发工程师,五险一金 补充医疗保险 免费班车 员工旅游 专业培训 出国机会 通讯补贴 餐饮补贴 绩效奖金 年终奖金,6-8千/月,12-09,深圳-宝安区
"深圳-南山区,在校生/应届生,大专,招3人",https://jobs.51job.com/all/co5605417.html,成都龙捷科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/122877515.html?s=01&t=0,Python初级开发,五险一金 餐补补贴 住房补贴 专业培训 绩效奖金 年底双薪 弹性工作 员工旅游 定期体检 下午茶,0.6-1.2万/月,12-09,深圳-南山区
"深圳,3-4年经验,本科,招1人",https://jobs.51job.com/all/co270592.html,任子行网络技术股份有限公司,上市公司,https://jobs.51job.com/shenzhen/127326182.html?s=01&t=0,Python开发工程师,五险一金 带薪年假 周末双休,1.5-2万/月,12-07,深圳
"深圳-南山区,2年经验,招5人",https://jobs.51job.com/all/co5728964.html,深圳妮姬网络科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/119051159.html?s=01&t=0,高级爬虫工程师,,2-3万/月,12-06,深圳-南山区
"深圳-南山区,3-4年经验,本科,招3人",https://jobs.51job.com/all/co4865346.html,翼果（深圳）科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/126245622.html?s=01&t=0,Python后台工程师,股票期权 绩效奖金 弹性工作 五险一金 入职体检 调薪机会,1-2万/月,11-21,深圳-南山区
"深圳-南山区,1年经验,本科,招3人",https://jobs.51job.com/all/co4865346.html,翼果（深圳）科技有限公司,民营公司,https://jobs.51job.com/shenzhen-nsq/122624481.html?s=01&t=0,Python后台工程师,,1-1.5万/月,11-19,深圳-南山区
"深圳-福田区,无需经验,大专,招5人",https://jobs.51job.com/all/co6021458.html,陕西先秦网络科技有限责任公司,民营公司,https://jobs.51job.com/shenzhen-ftq/126754396.html?s=01&t=0,（实习生）Python开发工程师,五险一金 补充医疗保险 补充公积金 员工旅游 餐饮补贴 交通补贴 绩效奖金 年终奖金 弹性工作 定期体检,6-8千/月,11-13,深圳-福田区
"深圳-罗湖区,2年经验,大专,招若干人",https://jobs.51job.com/all/co3842263.html,坤金聚宝（深圳）科技有限公司,民营公司,https://jobs.51job.com/shenzhen-lhq/123261356.html?s=01&t=0,爬虫开发工程师,五险一金 年终奖金 专业培训 周末双休 绩效奖金 弹性工作,1.2-1.8万/月,11-06,深圳-罗湖区
